customer_id,age,income,spending_score,membership_years,region,churn
1,22,40355,26,0,West,1
2,18,51702,41,4,North,0
3,67,25084,98,11,South,0
4,39,68649,46,2,West,1
5,34,100922,83,5,North,0
6,69,37867,96,9,South,0
7,35,74601,47,3,West,1
8,45,65468,30,1,South,0
9,20,35300,45,7,North,1
10,64,59704,57,4,North,0
11,48,60654,23,6,North,0
12,41,78661,75,5,East,0
13,18,49606,77,4,West,1
14,53,58771,69,0,East,1
15,68,46833,36,14,South,0
16,29,60793,68,8,South,0
17,43,33154,95,4,South,0
18,19,43450,20,0,South,0
19,65,69730,54,14,South,1
20,52,51273,48,8,South,0
21,29,61668,6,3,North,0
22,20,68183,78,4,East,0
23,53,85399,11,0,East,1
24,71,52969,59,8,East,0
25,22,65427,10,5,East,0
26,54,60922,66,9,East,0
27,66,43004,54,1,North,0
28,71,61255,6,10,North,0
29,30,64321,60,2,East,0
30,42,54656,12,14,West,0
31,65,65984,97,13,West,0
32,50,40735,39,4,South,0
33,28,40011,92,14,South,1
34,66,46723,25,8,West,1
35,27,54010,49,9,East,0
36,52,66653,92,9,West,0
37,66,52982,35,0,South,0
38,70,49920,78,8,West,1
39,22,49591,39,13,South,0
40,74,61424,34,14,West,1
41,46,43523,41,0,West,0
42,27,47550,98,3,North,1
43,25,62233,47,5,West,1
44,38,64444,63,12,East,0
45,65,51179,28,0,North,0
46,58,78567,97,10,East,1
47,71,65120,65,6,South,0
48,50,62197,65,4,West,0
49,21,46820,46,4,North,0
50,52,50615,2,4,East,0
51,59,79429,14,0,South,1
52,61,50350,81,13,East,0
53,43,75182,54,5,West,0
54,47,54947,47,8,East,0
55,66,56239,83,13,North,0
56,72,71235,65,3,West,0
57,44,37205,12,6,West,0
58,71,64775,63,5,East,1
59,39,45970,71,5,North,0
60,39,68661,57,13,West,0
61,58,50783,80,1,North,0
62,28,80021,40,3,North,1
63,45,48584,30,11,North,0
64,25,56851,84,4,North,0
65,49,48612,38,1,West,1
66,53,45763,21,6,North,0
67,72,46732,1,10,South,0
68,69,84075,24,1,North,0
69,52,19486,40,0,West,1
70,64,62362,16,6,West,1
71,60,89573,48,4,East,0
72,70,36270,55,0,North,0
73,36,49186,36,0,West,0
74,41,32181,71,4,East,0
75,21,70905,22,0,North,0
76,24,63091,62,1,East,0
77,42,83039,75,14,East,0
78,69,45236,74,2,South,0
79,24,56445,93,4,West,0
80,62,40914,65,2,West,0
81,41,43300,23,9,North,0
82,54,19418,71,11,South,0
83,39,50808,64,5,East,1
84,32,50861,20,2,South,0
85,37,95506,39,12,North,0
86,39,51570,77,2,North,0
87,69,38903,95,0,West,0
88,58,77492,57,0,East,0
89,37,86646,90,12,West,1
90,39,30441,11,9,East,1
91,45,53294,97,14,West,1
92,60,85193,94,14,North,0
93,67,33292,92,3,North,1
94,24,74300,83,1,North,0
95,34,50042,14,4,East,1
96,34,34795,55,7,South,0
97,62,52487,77,3,North,0
98,32,46909,61,7,East,0
99,57,65038,99,14,South,0
100,46,52111,17,5,West,1
101,49,70345,78,9,West,0
102,35,47162,69,5,East,0
103,69,72222,25,7,South,1
104,51,50844,91,4,East,0
105,23,72594,71,7,West,0
106,31,58079,39,11,West,0
107,26,46943,48,0,South,1
108,18,78367,78,11,North,0
109,69,28137,71,0,North,0
110,72,71949,55,13,North,0
111,27,35493,20,9,North,1
112,22,95534,96,12,North,1
113,64,76515,86,13,North,0
114,24,51077,99,3,North,1
115,62,53502,7,11,North,1
116,61,49741,43,5,South,0
117,41,25890,64,8,North,0
118,43,64597,4,5,East,0
119,38,35332,10,1,West,0
120,39,36171,94,14,West,1
121,42,68908,1,2,West,0
122,54,38724,85,10,South,0
123,46,47638,4,8,East,0
124,41,49010,87,14,West,0
125,54,62583,18,6,South,0
126,45,48107,25,1,West,0
127,36,64034,20,8,South,0
128,43,46660,24,14,East,0
129,40,70991,6,7,South,0
130,41,63095,81,1,North,0
131,58,58058,51,7,East,1
132,42,95491,24,10,North,1
133,51,37533,26,7,North,1
134,26,76136,47,13,West,0
135,27,62355,88,5,North,0
136,62,12317,28,6,West,1
137,65,53947,52,0,North,1
138,23,45784,48,4,North,0
139,46,56511,86,6,East,0
140,39,88704,58,9,West,0
141,60,64381,61,8,West,1
142,42,59768,98,4,East,0
143,40,44926,66,10,East,0
144,42,72033,6,2,South,0
145,69,59541,61,12,East,0
146,22,25522,87,5,West,1
147,60,55220,62,10,West,0
148,52,48190,7,2,North,1
149,46,55718,2,11,East,0
150,53,51915,89,5,West,0
151,35,32449,87,5,East,1
152,70,76106,81,6,East,0
153,68,78362,49,10,South,0
154,44,54089,24,10,East,1
155,49,54980,60,9,West,1
156,68,75990,74,5,North,0
157,51,54117,46,10,South,1
158,45,72494,13,13,East,1
159,48,50601,73,6,West,0
160,38,51031,71,2,West,1
161,71,30443,56,3,South,0
162,23,60573,85,12,North,0
163,34,41348,32,8,North,0
164,53,49697,34,7,South,1
165,38,79145,64,6,West,1
166,44,78636,45,5,West,1
167,62,57623,35,12,South,1
168,65,41839,26,9,South,0
169,41,59734,15,7,West,1
170,51,42823,29,11,North,0
171,61,54030,33,12,South,0
172,52,73699,53,2,North,0
173,41,31155,45,11,South,1
174,33,56181,53,7,North,0
175,27,66657,18,6,North,1
176,21,45749,29,4,West,1
177,51,73275,61,6,West,0
178,64,65589,26,8,East,0
179,67,34403,74,14,South,0
180,69,59902,54,7,North,0
181,40,56990,66,14,North,0
182,71,71382,3,10,West,0
183,60,53974,97,1,South,0
184,27,77959,13,5,West,0
185,30,34509,7,4,West,0
186,31,28443,56,3,East,0
187,58,56252,62,10,East,0
188,48,44398,60,6,West,0
189,66,70035,1,2,East,1
190,46,43581,49,10,North,0
191,39,77629,11,4,East,0
192,63,21655,32,3,East,0
193,66,72956,8,5,South,0
194,74,48580,58,1,South,0
195,24,66380,27,1,West,0
196,49,34896,15,2,West,1
197,48,60298,71,13,South,0
198,25,36636,45,11,North,1
199,74,42525,69,7,West,1
200,63,37310,90,11,North,0
201,44,70740,6,10,South,1
202,74,50727,80,8,West,0
203,41,63107,84,5,West,0
204,19,59361,72,12,South,1
205,27,77879,36,5,East,0
206,61,25870,58,11,East,0
207,43,35817,88,2,South,0
208,70,83809,57,12,West,0
209,59,28397,38,10,South,0
210,51,49538,34,0,North,1
211,24,31906,84,3,North,0
212,61,28427,34,12,North,0
213,37,64907,11,11,North,0
214,34,65760,2,0,West,0
215,61,58525,1,12,South,0
216,51,47261,53,3,East,0
217,43,43027,43,6,East,0
218,41,48795,87,14,North,0
219,58,59086,65,6,East,1
220,46,83787,9,0,West,1
221,53,35279,26,1,East,0
222,52,81587,55,10,South,0
223,49,80076,9,6,West,0
224,49,42966,98,8,West,1
225,50,53464,61,1,South,1
226,69,20035,48,3,East,0
227,45,40792,89,2,West,0
228,68,67760,43,14,West,0
229,34,43421,23,9,West,0
230,68,30295,27,5,North,1
231,24,72520,21,10,East,0
232,57,59542,4,2,East,0
233,22,38340,64,9,North,0
234,27,32062,26,13,West,1
235,54,62102,62,4,East,0
236,24,45966,69,7,South,0
237,34,73286,68,4,West,1
238,54,100682,42,3,East,0
239,40,27516,80,9,North,0
240,50,25710,43,0,North,0
241,38,38970,75,4,East,0
242,61,68646,29,2,North,0
243,46,60582,97,0,East,1
244,40,52800,91,14,North,0
245,37,72204,60,8,South,0
246,29,53435,11,4,North,0
247,24,56867,96,5,North,1
